鉄道事業者,路線,駅1,駅2,経度1,緯度1,経度2,緯度2,フラグ,value
九州旅客鉄道,香椎線,雁ノ巣,海ノ中道,130.402795,33.683775,130.361465,33.66413,1,
九州旅客鉄道,香椎線,海ノ中道,西戸崎,130.361465,33.66413,130.35807,33.650635,1,
九州旅客鉄道,三角線,宇土,緑川,130.6690705,32.694348500000004,130.63135,32.69393,1,
九州旅客鉄道,三角線,緑川,住吉,130.63135,32.69393,130.59878,32.70177,1,
九州旅客鉄道,三角線,住吉,肥後長浜,130.59878,32.70177,130.5611,32.69106,1,
九州旅客鉄道,三角線,肥後長浜,網田,130.5611,32.69106,130.54658,32.66735,1,
九州旅客鉄道,三角線,網田,赤瀬,130.54658,32.66735,130.51004,32.65295,1,
九州旅客鉄道,三角線,赤瀬,石打ダム,130.51004,32.65295,130.50663,32.64225,1,
九州旅客鉄道,三角線,石打ダム,波多浦,130.50663,32.64225,130.48771,32.61501,1,
九州旅客鉄道,三角線,波多浦,三角,130.48771,32.61501,130.47061,32.6085,1,
九州旅客鉄道,山陽線,下関,門司,130.92143,33.94887,130.93239,33.90433,1,
九州旅客鉄道,篠栗線,桂川,筑前大分,130.66301,33.58463,130.62973,33.59018,1,
九州旅客鉄道,篠栗線,筑前大分,九郎原,130.62973,33.59018,130.612425,33.592420000000004,1,
九州旅客鉄道,篠栗線,九郎原,城戸南蔵院前,130.612425,33.592420000000004,130.57209,33.61796,1,
九州旅客鉄道,篠栗線,城戸南蔵院前,筑前山手,130.57209,33.61796,130.55721499999999,33.622195000000005,1,
九州旅客鉄道,篠栗線,筑前山手,篠栗,130.55721499999999,33.622195000000005,130.52405,33.623925,1,
九州旅客鉄道,篠栗線,篠栗,門松,130.52405,33.623925,130.495945,33.620495,1,
九州旅客鉄道,篠栗線,門松,長者原,130.495945,33.620495,130.47822,33.61375,1,
九州旅客鉄道,篠栗線,長者原,原町,130.47822,33.61375,130.471205,33.611855,1,
九州旅客鉄道,篠栗線,原町,柚須,130.471205,33.611855,130.44416,33.613330000000005,1,
九州旅客鉄道,篠栗線,柚須,吉塚,130.44416,33.613330000000005,130.423705,33.6072,1,
九州旅客鉄道,大村線,諫早,岩松,130.041505,32.851235,129.98127,32.89057,1,
九州旅客鉄道,大村線,岩松,大村,129.98127,32.89057,129.962265,32.91143,1,
九州旅客鉄道,大村線,大村,諏訪,129.962265,32.91143,129.960084535,32.923910225,1,
